epoch,loss,val_loss
0,2.45727119416488,2.405790913362757
1,2.416765024559011,2.405601595502611
2,2.3838475757750235,2.395699889511439
3,2.3506292215178437,2.3714859823045686
4,2.3175290982056778,2.3536299066986905
5,2.299183391827873,2.340268962164361
6,2.285946300902596,2.331177104721764
7,2.2746955667564546,2.3207534008798834
8,2.2654247472762634,2.3145744054886297
9,2.2581826104971845,2.3109469144944557
10,2.2520020429063674,2.3062883642942364
11,2.2466060379603188,2.301488007535994
12,2.2421448615153965,2.299838355633165
13,2.2383130941940954,2.29696668097784
14,2.2348360009739134,2.294655671483033
15,2.2316344637093124,2.292043875744522
16,2.2285285763472102,2.2924236302445906
17,2.2256335067270476,2.2877089897292433
18,2.2227828952901323,2.2863157154255638
19,2.220096402678806,2.2835459482848877
20,2.217166308898723,2.2793361877227634
21,2.214698809315803,2.2778566075781876
22,2.2119381386424157,2.277656564958753
23,2.2093254749626388,2.2768418481548505
24,2.206790832165508,2.2719426538821796
25,2.2043942478093745,2.269127061995209
26,2.201985938424985,2.2684315675584625
27,2.1998268195407755,2.26469339877142
28,2.1976925040262714,2.2640428008496487
29,2.1956823148680127,2.264514639672102
30,2.193767313821175,2.261807572481512
31,2.191933166238096,2.258985915925542
32,2.1901354645823434,2.255564762800242
33,2.1884548616937876,2.257509081504621
34,2.1868376305566786,2.2564244259755974
35,2.1852919988875827,2.2543969428785884
36,2.1837370684656574,2.251918217474986
37,2.182257606107146,2.2563727234535302
38,2.1808396804526615,2.250076043321499
39,2.179457145253395,2.248850846137261
40,2.178143806885359,2.251729312466833
41,2.176845278853673,2.2455052048729263
42,2.175527347488477,2.2493290438275597
43,2.174306339552489,2.2447595026276503
44,2.173103404053899,2.246933010935109
45,2.1718930638144625,2.248398176451543
46,2.1707621197653113,2.242356181592578
47,2.1696450889989176,2.2418147528188577
48,2.168559341330942,2.2444462333369595
49,2.167490194200888,2.249366492185576
50,2.16644968915,2.243426021980149
51,2.1654461027733967,2.2443703264173704
52,2.1644490743134304,2.2420104809770076
53,2.163465147883405,2.2398747071692706
54,2.1625238842112715,2.2419681344719757
55,2.1615526989360134,2.244535839770224
56,2.1606541597064366,2.2419436537742223
57,2.1597885396691208,2.2401740651562507
58,2.1588674332611633,2.2396290550010307
59,2.158003483460625,2.2415271871224918
60,2.1571848898426444,2.238902034187703
61,2.156319452131206,2.238119608906832
62,2.1555149803249116,2.238183542598708
63,2.1546877523137598,2.2392731324033943
64,2.1538698442484345,2.2380746641038676
65,2.1531270704713705,2.235979495062729
66,2.152293446895521,2.2376473707542224
67,2.1515464362901295,2.237026237892215
68,2.15081381398449,2.2365806631021936
69,2.150030348415212,2.234246405256369
70,2.149307905596001,2.239545673423816
71,2.1486452505773532,2.2351604278436614
72,2.147923953108136,2.234645270027204
73,2.147166738518285,2.237645434282516
74,2.14644757097591,2.2364705418406383
75,2.145784943862628,2.236468766703051
76,2.1451015991986164,2.2377769286653364
77,2.1443817344844534,2.2336665740381454
78,2.1437035044933115,2.234646122914015
79,2.1430724481371377,2.2355967315495393
80,2.142437073883485,2.238025898016469
81,2.1417717996911465,2.2333390382815104
82,2.141122512074487,2.235508363654385
83,2.1404752444131048,2.2399584889328974
84,2.1398267267377724,2.2374528543517185
85,2.139246581740757,2.232993767576197
86,2.1386544371147047,2.2364619475520118
87,2.1380013120639862,2.2326956805854854
88,2.1374050330493493,2.236059211520677
89,2.136820522641794,2.233568474028527
90,2.1362091400516134,2.2356374267239976
91,2.1356197104437475,2.2317489163994297
92,2.1350309537840397,2.2335353557020663
93,2.1344718797363624,2.233521943779684
94,2.1338708584926604,2.2359756454082103
95,2.1333408662322237,2.234540056597099
96,2.1327604786366994,2.2314160126590443
97,2.1321617142413207,2.234209121504928
98,2.131637475000896,2.235977351127105
99,2.131108947684892,2.2340082073967618
100,2.1305065086713064,2.2322605988378883
101,2.130071850958912,2.231716273478367
102,2.1294990201889443,2.2315604702579197
103,2.1289062529334606,2.2363682946685812
104,2.1284190394914226,2.2360976427560177
105,2.1278915838169965,2.2333320678564004
106,2.1273676059245297,2.2355367414270932
107,2.126836453068509,2.235916774480663
108,2.126338958144765,2.2330481274386185
109,2.1258131042413244,2.2334731953872393
110,2.1253132062238023,2.2358544360976165
111,2.12476619262778,2.2333190356657653
112,2.1242803532882717,2.234989167433989
113,2.123763868003352,2.23434720275477
114,2.1232658682854066,2.2327025316847307
115,2.1228399865918233,2.236398187802704
116,2.122393961680325,2.2335297168329546
117,2.1217551385732745,2.2329979876727677
